run,Iteration,Fitness,ExecutionTime,Discrete,Real,Accuracy
0,0,91.40808543096874,3.3996469974517822,"[1 0 0 0 0 1 0 1 0 1 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 1
 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 1 0 0 0]",[28938.15870233 63391.69385533],99.34782608695653
0,1,91.42677345537759,6.961642026901245,"[1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1
 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0]",[88156.6344969   2509.77800306],99.80978260869566
0,2,91.42677345537759,10.407546997070312,"[1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1
 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0]",[88156.6344969   2509.77800306],99.80978260869566
0,3,92.06331045003816,13.750365972518921,"[1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1
 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0]",[88156.6344969   2509.77800306],99.72826086956522
0,4,92.06331045003816,16.998324155807495,"[1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1
 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0]",[88156.6344969   2509.77800306],99.72826086956522
0,5,92.06331045003816,20.683815002441406,"[1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1
 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0]",[88156.6344969   2509.77800306],99.72826086956522
0,6,92.06331045003816,23.985265016555786,"[1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1
 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0]",[88156.6344969   2509.77800306],99.72826086956522
0,7,92.06331045003816,28.112828969955444,"[1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1
 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0]",[88156.6344969   2509.77800306],99.72826086956522
0,8,92.06331045003816,31.31089425086975,"[1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1
 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0]",[88156.6344969   2509.77800306],99.72826086956522
0,9,92.06331045003816,34.718096017837524,"[1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1
 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0]",[88156.6344969   2509.77800306],99.72826086956522
0,10,92.06331045003816,38.033329010009766,"[1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1
 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0]",[88156.6344969   2509.77800306],99.72826086956522
0,11,92.06331045003816,41.438570976257324,"[1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1
 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0]",[88156.6344969   2509.77800306],99.72826086956522
0,12,92.06331045003816,44.50650501251221,"[1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1
 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0]",[88156.6344969   2509.77800306],99.72826086956522
0,13,92.06331045003816,47.94737792015076,"[1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1
 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 0]",[88156.6344969   2509.77800306],99.72826086956522
